,出表日期,stock_id,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期_x,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,交易市場,主要經營業務,上市上櫃日期
17,109/10/25,1225,福懋油,－ ,食品工業,台中市大肚區沙田路一段453號,22102298,晉昇投資有限公司,許逸群,郭中儀,資深經理,李建儀,25073121,19860418,19930927,新台幣                 10.0000元,2187030510,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,廖婉怡,陳招美,FOPCO,"3RD FL,150 NANKING EAST RD, SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.",(02)25071312,cherry.lin@fopco.com.tw,WWW.FOPCO.COM.TW,上市,麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售。家畜，家禽之養殖及肉類之加工銷售。一般進口貿易業務(許可業務除外)。,1993/09/27
18,109/10/25,1227,佳格,－ ,食品工業,台北市仁愛路三段136號5樓,22102473,曹德風,曹博睿,曹德風,董事長,陳俊明,2709-2323,19860606,19940409,新台幣                 10.0000元,9150895910,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,龔則立,陳致源,S.F.C,"5th Floor, Lotus Building,No.136, Jen Ai Road, Sec. 3,Taipei,Taiwan,R.O.C.",2706-7955,spokesperson1@sfworldwide.com,http://www.sfworldwide.com/,上市,"嬰兒麥粉,麥片及相關產品之生產製造食用油及滋養飲料粉之分裝,加工,銷售業務一般進出口貿易及餐廳之經營",1994/04/09
19,109/10/25,1229,聯華,－ ,食品工業,臺北市大同區承德路一段44號6樓,11996904,苗豐強,林信宏,林信宏,總經理,尹楊俊,(02)2786-1188,19550720,19760719,新台幣                 10.0000元,12814982150,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,江曉苓,楊柳鋒,LHIHC,"6F., No.44, Sec. 1, Chengde Rd., Datong DistrictTAIPEI,TAIWAN,R.O.C",(02)2786-3232,info@lhic.com.tw,https://www.lhicholdings.com/,上市,一般投資業,1976/07/19
20,109/10/25,1231,聯華食,－ ,食品工業,台北市迪化街一段148號,7569627,李開源,林家齊,林志遠,財務處協理,陳姵岑,(02)25534546,19700707,19951102,新台幣                 10.0000元,1833251650,0,0,1,永豐金證券股份有限公司,(02)23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,張清福,趙永祥,Lian Hwa Foods,"148 TI HWA STREET SEC.1,Taipei,Taiwan,R.O.C",(02)25533479,tomlin@lianhwa.com.tw,www.lianhwa.com.tw,上市,食品,1995/11/02
21,109/10/25,1232,大統益,－ ,食品工業,台南市官田區二鎮里工業西路32號,20927014,羅智先,陳昭良,陳昭良,總經理,胡育誌,06-698-4500,19820524,19960209,新台幣                 10.0000元,1599749150,0,0,1,統一綜合證券股份有限公司,02-2746-3797,台北市東興路8號地下一樓,資誠聯合會計師事務所,林姿妤,林永智,TTET,"32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, TaiwanTAINAN CITY, TAIWAN",06-698-5530,finance@mail.ttet.com.tw,http://www.ttet.com.tw,上市,黃豆油、粉加工，製造及銷售,1996/02/09
22,109/10/25,1233,天仁,－ ,食品工業,台北市忠孝東路4段107號6樓,18559415,李國麟,林仁宗,陳中智,財務暨行政協理,王文嫻,02-27765580,19751211,19990120,新台幣                 10.0000元,905919480,0,0,1,元大證券股份有限公司,02-25865859,台北市承德路3段210號地下一樓,安永聯合會計師事務所,呂倩雯,劉慧媛,Ten Ren,"6F. NO.107,SEC 4, Chung Hsiao East Road,Taipei, Taiwan, ROC",02-27403035,chafortea@tenren.com.tw,http://www.tenren.com.tw/,上市,茶葉製造加工茶葉製品買賣茶相關製品,1999/01/20
23,109/10/25,1234,黑松,－ ,食品工業,台北市信義路四段296號3樓,20651901,張斌堂,張斌堂,杜居燦,財務處處長,蔡曜光,(02)2706-2191,19691213,19990312,新台幣                 10.0000元,4018710940,0,0,1,宏遠證券股份有限公司股務代理部,(02)7719-8899,台北市大安區信義路四段236號3樓,勤業眾信聯合會計師事務所,郭乃華,池瑞全,HEY-SONG,"3RD FL. NO. 296, SEC. 4, HSIN YI RD.TAIPEI, TAIWAN, R.O.C.",(02)2755-2119,heysong@heysong.com.tw,www.heysong.com.tw,上市,"碳酸飲料,酒類,果蔬汁,咖啡飲料,運動飲料等.",1999/03/12
24,109/10/25,1235,興泰,－ ,食品工業,高雄市仁武區高楠公路10號,85617982,吳星澄,吳星澄,葉文隆,法務處經理,蘇玲慧,07-3425301-5,19721115,20000911,新台幣                 10.0000元,989554360,0,0,1,國票綜合證券股份有限公司,02-25936666,10369台北市重慶北路3段199號4樓,國富浩華聯合會計師事務所,李青霖會計師,謝仁耀會計師,ST,10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.,07-3425694,shintai1235@seed.net.tw,www.shintai-feed.com.tw,上市,飼料,2000/09/11
25,109/10/25,1236,宏亞,－ ,食品工業,新北市新店區寶興路45巷8弄3號5樓,34106066,張云綺,張云綺,余彩雲,財務經理,吳哲維,(02)29180786,19760614,20010917,新台幣                 10.0000元,1083425100,0,0,1,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路2段97號地下2樓,安永聯合會計師事務所,黃建澤,張正道,Hunya,"3,Alley8,Lane45,Pao Hsin Rd;Hsin Tien,Taipei,Taiwan,R.O.C.",(02)29180706,hunya.com.tw,www.hunya.com.tw,上市,糖果、餅乾、巧克力之製造、加工及買賣。月餅、西點、麵包糕餅等食品之製造、加工及買賣。七七巧克力、禮坊名店。,2001/09/17
26,109/10/25,1256,鮮活果汁-KY,KY 開曼群島                                                    ,食品工業,"Genesis Close, PO Box 446, Cayman Islands, KY1-1106",37759808,黃國晃,王明智,吳明憲,董事,黃永霞,512-57515501,20100112,20160317,新台幣                 10.0000元,338421600,0,0,1,兆豐證券股份有限公司股務代理部,02-33930398,台北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,謝明忠,呂宜真,Sunjuice,"P.O. BOX 10338,GRAND CAYMAN KY1-1003Grand Cayman KY1-1003,Cayman Islands",512-57515503,XH@sunjuice.com.cn,http://www.myfreshjuice.com,上市,果汁、果粒、果粉類等產品之生產與銷售,2016/03/17
27,109/10/25,1301,台塑,－ ,塑膠工業,高雄市仁武區水管路100號,75708007,林健男,林健男,林勝冠,資深副總經理,張嘉澤,(02)2712-2211,19541105,19640727,新台幣                 10.0000元,63657407810,0,0,1,本公司股務組,(02)2718-9898,台北市敦化北路201號後棟1樓,安侯建業聯合會計師事務所,寇惠植,于紀隆,FPC,"4F, 201, Tung Hwa North RoadTaipei, Taiwan, R.O.C.",(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw,上市,聚氯乙烯(PVC)、氯乙烯、液(石咸)、聚丙烯、高密度聚乙烯聚乙烯醋酸乙烯酯、低密度聚乙烯、線性低密度聚乙烯、丙烯酸酯高吸水性樹脂、碳素纖維、丙烯睛、甲基丙烯酸甲酯及環氧氯丙烷等,1964/07/27
28,109/10/25,1303,南亞,－ ,塑膠工業,台北市敦化北路201號,75370905,吳嘉昭,鄒明仁,吳嘉昭,董事長,葉明忠,(02)27122211,19580822,19671105,新台幣                 10.0000元,79308215890,0,0,1,本公司股務組,(02)27189898,台北市敦化北路201號後棟一樓,安侯建業聯合會計師事務所,郭欣頤,于紀隆,NPC,"201, TUNG HWA NORTH ROADTAIPEI TAIWAN, REPUBLIC OF CHINA",(02)27178533,nanya@npc.com.tw,http://www.npc.com.tw,上市,各種塑膠加工品、塑膠原料、電子材料、聚酯纖維之製銷及染整加工 、配電盤,1967/11/05
29,109/10/25,1304,台聚,－ ,塑膠工業,台北市內湖區基湖路37號12樓,11917107,吳亦圭,王克舜,吳銘宗,業務處協理,甘霖,02-87516888,19650526,19720520,新台幣                 10.0000元,11887635000,0,0,1,本公司股務部,02-26503773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,莊碧玉,郭政弘,USI,"12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.",02-26599524,mtwu@csl.usife.com.tw,www.usife.com.tw,上市,塑膠原料之製造、加工及銷售電子材料其他,1972/05/20
30,109/10/25,1305,華夏,－ ,塑膠工業,台北市內湖區基湖路37號12樓,11686106,吳亦圭,林漢福,胡吉宏,副總經理,劉傳源,(02)8751-6888,19640429,19730305,新台幣                 10.0000元,5533814230,0,0,1,本公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,黃秀椿,邱政俊,CGPC,"12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.",(02)2659-9553,cgpcstkqa@cgpc.com.tw,https://www.cgpc.com.tw,上市,從事生產與銷售塑膠布，塑膠皮，塑膠管，塑膠粒塑膠粉，鹼氯品及其它有關產品為主要業務,1973/03/05
31,109/10/25,1307,三芳,－ ,塑膠工業,高雄市三民區通化街120號,83387850,林孟經,林至逸,林信宏,副總經理,陳偉鉅,(07)3712111,19730616,19851123,新台幣                 10.0000元,3978181260,0,0,1,中國信託代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,吳秋燕,江佳玲,SAN FANG,"402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN",(07)3711940,service@sanfang.com.tw,http://www.sanfang.com.tw,上市,聚氨基甲酸加工品之製銷事項不織布起毛布加工品製銷染整事項聚氯乙烯加工之製銷事項塑膠加工品生產技術研究改良事項各種皮革加工之製銷事項有關事業之投資經營事項,1985/11/23
32,109/10/25,1308,亞聚,－ ,塑膠工業,高雄市林園區工業一路3號,20747385,吳亦圭,吳培基,黃克名,業務部經理,陳政順,(02)8751-6888,19770125,19860620,新台幣                 10.0000元,5821018820,0,0,1,亞洲聚合股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,黃秀椿,邱政俊,APC,"NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST.,KAOHSIUNG, TAIWAN, 832 ROC",(02)2659-9553,kmhuang@tpe.usife.com.tw,HTTP://WWW.apc.com.tw,上市,低密度聚乙烯及乙烯醋酸乙烯酯共聚合樹脂之生產及銷售.高密度聚乙烯及線型低密度聚乙烯之銷售.分解性塑膠原料之製造及銷售.,1986/06/20
33,109/10/25,1309,台達化,－ ,塑膠工業,台北市內湖區基湖路37號12樓,11893409,吳亦圭,吳培基,顏太明,執行副總經理,林金才,(02)8751-6888,19600406,19860627,新台幣                 10.0000元,3442310380,0,0,1,台達化學工業股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,黃秀椿,邱政俊,TTC,"12th Floor, No.37, Ji-Hu Rd.,Taipei 114,Taiwan,R.O.C.",(02)2659-9504,tmyen@ttc.com.tw,http://www.ttc.com.tw,上市,"聚苯乙烯及加工品之製銷,丙烯(月青)、丁二烯、苯乙烯共聚體樹脂ABS之製銷,﹝丙烯(月青)、苯乙烯共聚合樹脂﹞SAN之製銷玻璃棉及其有關產品之製銷,塑膠原料及加工品之製銷",1986/06/27
34,109/10/25,1310,台苯,－ ,塑膠工業,台北市羅斯福路一段六號八樓之一,20844865,林文淵,陳柏元,仲崇國,副總經理,周子聖,02-23966007,19791116,19870806,新台幣                 10.0000元,5278697640,0,0,1,元大證券(股)公司股務代理部,02-2586-5859,台北市承德路三段210號地下一樓,安侯建業聯合會計師事務所,吳麟,尹元聖,T.S.M.C.,"8th-1 F1.,6,Roosevelt.Sec.1,Taiwan,Taiwan,R.O.C.",23960755,acc@mail.smct.com.tw,www.smct.com.tw,上市,苯乙烯單體對二乙苯甲苯 乙苯,1987/08/06
35,109/10/25,1312,國喬,－ ,塑膠工業,臺北市南京東路四段1號10樓,4212250,楊品正,曾嘉雄,陳景福,財務部協理,周振銘,(02)8770-4567,19730925,19881221,新台幣                 10.0000元,9266203280,0,20000000,1,凱基證券(股)公司代理部,(02)2389-2999,台北市重慶南路一段2號5 樓,國富浩華聯合會計師事務所,蕭英嘉,王戊昌,GPPC,"10FL,No.1 SEC.4 NAN-JING E. ROADTAIPEI, TAIWAN  R.O.C.",(02)2545-8755,gppc@gppc.com.tw,http://www.gppc.com.tw,上市,石油化工原料製造業合成樹脂及塑膠製造業國際貿易業(除許可業務外得經營法令非禁止或限制之業務),1988/12/21
36,109/10/25,1313,聯成,－ ,塑膠工業,台北市南港區南港路一段209號A棟9樓,4748660,苗豐強,柯衣紹,陳逸蓁,經理,王家君,(02)26517889,19760814,19890327,新台幣                 10.0000元,13323476070,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5F,勤業眾信聯合會計師事務所,李振銘,林文欽,UPC,"9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115,Taiwan, R.O.C",(02)26515818,ir@upc.com.tw,http://www.upc.com.tw,上市,有機酸及其衍生物塑膠增韌劑樹脂及塑膠原料,1989/03/27
37,109/10/25,1314,中石化,－ ,塑膠工業,高雄市大社區經建路1號,3084741,陳瑞隆,余建松,陳穎俊,副總經理,黃國材,07-3513521,19690708,19910712,新台幣                 10.0000元,32848501300,0,0,1,本公司股務室,02-89782589,台北市松山區東興路12號3樓,安侯建業會計師事務所,陳眉芳,鍾丹丹,CPDC,"No. 1 Chinchian Road, Dashe HsiangKaohsiung, Taiwan, R. O. C.",07-3513642,list1314@ms.tse.com.tw,www.cpdc.com.tw,上市,石油化學產品CPL AN 之製造及銷售,1991/07/12
38,109/10/25,1315,達新,－ ,塑膠工業,台中市西屯區工業區35路51號,51059101,吳子聰,黃俊嘉,賴耿民,財會主管,陳昕晟,04-23595511,19661024,19920509,新台幣                 10.0000元,1386000000,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,國富浩華聯合會計師事務所,張福郎,邱桂鈴,TAH HSIN,"NO.51, 35TH RD.,TAICHUNG INDUSTRIAL PARK ,TAICHUNG ,TAIWAN, R.O.C",04-23595557,thst@mail.tahhsin.com.tw,www.tahhsin.com.tw,上市,塑膠雨衣、什加工、PP瓦楞板等製品成衣、塗布加工製品傢俱、文具、護貝、皮件等製品,1992/05/09
39,109/10/25,1316,上曜,－ ,建材營造,台南市安平區永華路二段248號20樓之6,73654033,張祐銘,張祐銘,郭育政,財務部協理,朱麗娟,(06)2988318,19791211,19921015,新台幣                 10.0000元,1846776260,0,0,1,元大證券股份有限公司,(02)2586-5859,台北市大同區承德路三段210號地下一樓,安侯建業聯合會計師事務所,許振隆,陳惠媛,SUN  YAD,"20F.-6, No.248, Sec. 2, Yonghua RdAnping Dist., Tainan City 708, Taiwan",(06)2988311,fina@sunyad.com.tw,www.sunyad.com.tw,上市,住宅及大樓開發租售業務。合成皮有關材料之買賣及進出口貿易業務。保護玻璃有關材料之買賣及進出口貿易業務。,1992/10/15
40,109/10/25,1319,東陽,－ ,汽車工業,台南市安和路二段98號,68326665,吳永豐,吳永祥,許芳華,處長,洪智慧,06-3560511,19671030,19941212,新台幣                 10.0000元,5914770680,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5F,安永聯合會計師事務所,黃世杰,洪茂益,OTN,"98 AN HO ROAD.,SEC,2TAINAN,TAIWAN,R,O,C",06-3566055,15469@tyg.com.tw,WWW.TYG.COM.TW,上市,汽機車零件製造買賣各項模具製造買賣,1994/12/12
41,109/10/25,1321,大洋,－ ,塑膠工業,"台北市莒光路310號5,6樓",15024509,陳欽明,陳欽明,王逸鶴,經理,邱俊福,(02)23062131,19650607,19990126,新台幣                 10.0000元,2272282680,0,0,1,凱基證券(股)公司股務代理部,(02)23148800,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,余聖河,李慈慧,OPC,"5F,310 CHUKWANG ROADTAIPEI,TAIWAN,R.O.C",(02)23027464,andy@opc.com.tw,www.opc.com.tw,上市,塑膠原料之製造及銷售塑膠製品之製造及銷售塑膠工業附帶原料之製造及銷售,1999/01/26
